,Date,FGM,CLOSE_DEF_DIST
92362,2015-02-06,0,4.8
92363,2015-02-06,1,3.5
92364,2015-02-06,1,6.6
92365,2015-02-06,1,5.0
92366,2015-02-06,1,2.8
92367,2015-02-06,1,4.1
92368,2015-02-06,1,1.4
92369,2015-02-06,0,5.7
92370,2015-02-06,1,9.0
92371,2015-02-06,0,1.8
92372,2015-02-06,1,2.3
92373,2015-02-06,0,4.5
92374,2015-02-06,1,3.3
92375,2015-02-06,0,2.7
92376,2015-02-04,1,3.6
92377,2015-02-04,0,0.2
92378,2015-02-04,0,4.4
92379,2015-02-04,0,3.2
92380,2015-02-04,0,4.1
92381,2015-02-04,1,3.8
92382,2015-02-04,1,4.6
92383,2015-02-04,0,2.1
92384,2015-02-04,1,4.7
92385,2015-02-04,1,4.8
92386,2015-02-04,1,4.0
92387,2015-02-04,1,0.2
92388,2015-02-04,1,7.9
92389,2015-02-04,0,14.8
92390,2015-02-04,0,3.1
92391,2015-02-04,0,3.8
92392,2015-02-04,0,3.6
92393,2015-02-04,0,2.4
92394,2015-02-04,0,0.6
92395,2015-02-04,1,4.4
92396,2015-01-31,0,4.2
92397,2015-01-31,1,2.9
92398,2015-01-31,1,4.9
92399,2015-01-31,0,2.4
92400,2015-01-31,1,4.7
92401,2015-01-31,0,4.0
92402,2015-01-31,0,2.8
92403,2015-01-31,1,5.6
92404,2015-01-31,0,3.2
92405,2015-01-31,1,3.5
92406,2015-01-31,0,2.8
92407,2015-01-31,1,10.9
92408,2015-01-31,1,1.7
92409,2015-01-31,1,4.1
92410,2015-01-31,0,2.7
92411,2015-01-31,1,5.0
92412,2015-01-31,1,2.5
92413,2015-01-30,0,2.1
92414,2015-01-30,0,2.1
92415,2015-01-30,1,5.0
92416,2015-01-30,0,4.2
92417,2015-01-30,1,2.8
92418,2015-01-30,0,3.3
92419,2015-01-30,0,6.1
92420,2015-01-30,0,7.2
92421,2015-01-30,0,3.1
92422,2015-01-30,1,10.3
92423,2015-01-30,0,1.9
92424,2015-01-30,0,3.8
92425,2015-01-30,0,2.3
92426,2015-01-30,0,5.1
92427,2015-01-30,0,0.7
92428,2015-01-30,1,3.6
92429,2015-01-30,0,3.2
92430,2015-01-30,0,3.1
92431,2015-01-30,0,2.6
92432,2015-01-30,0,5.3
92433,2015-01-30,0,2.2
92434,2015-01-28,1,6.5
92435,2015-01-28,1,3.4
92436,2015-01-28,0,2.5
92437,2015-01-28,0,3.1
92438,2015-01-28,1,4.5
92439,2015-01-28,1,2.7
92440,2015-01-28,0,13.1
92441,2015-01-28,1,4.3
92442,2015-01-28,0,2.7
92443,2015-01-28,1,3.7
92444,2015-01-28,1,4.4
92445,2015-01-28,0,4.1
92446,2015-01-28,0,1.6
92447,2015-01-28,0,3.8
92448,2015-01-25,1,2.2
92449,2015-01-25,0,4.1
92450,2015-01-25,1,1.6
