,Date,Open,High,Low,Close,Adj Close,Volume
68,2017-04-11,6.37,6.39,6.29,6.33,6.33,8340100
69,2017-04-12,6.46,6.46,6.38,6.42,6.42,4390100
70,2017-04-13,6.36,6.41,6.32,6.36,6.36,3088800
71,2017-04-17,6.37,6.42,6.35,6.4,6.4,2223800
72,2017-04-18,6.37,6.37,6.3,6.34,6.34,2722900
73,2017-04-19,6.33,6.37,6.29,6.3,6.3,3170100
74,2017-04-20,6.35,6.39,6.32,6.33,6.33,3678900
75,2017-04-21,6.31,6.32,6.23,6.23,6.23,2535100
76,2017-04-24,6.47,6.51,6.36,6.36,6.36,5667200
77,2017-04-25,6.21,6.34,6.2,6.25,6.25,9787600
78,2017-04-26,6.26,6.42,6.26,6.38,6.38,6427100
79,2017-04-27,6.35,6.47,6.34,6.47,6.47,7509000
80,2017-04-28,6.47,6.5,6.4,6.49,6.49,4945800
81,2017-05-01,6.51,6.51,6.44,6.46,6.46,3640600
82,2017-05-02,6.6,6.63,6.59,6.61,6.61,4521500
83,2017-05-03,6.5,6.53,6.48,6.51,6.51,2175700
84,2017-05-04,6.55,6.62,6.55,6.6,6.6,3483900
85,2017-05-05,6.62,6.64,6.59,6.62,6.62,7435500
86,2017-05-08,6.59,6.61,6.55,6.58,6.58,4383800
87,2017-05-09,6.57,6.62,6.55,6.61,6.61,5186100
88,2017-05-10,6.53,6.54,6.48,6.49,6.49,2752600
89,2017-05-11,6.46,6.47,6.4,6.44,6.44,2881400
90,2017-05-12,6.51,6.52,6.46,6.48,6.48,9468300
91,2017-05-15,6.57,6.69,6.57,6.66,6.66,3185000
92,2017-05-16,6.73,6.77,6.68,6.76,6.76,6910800
93,2017-05-17,6.67,6.7,6.57,6.58,6.58,3759700
94,2017-05-18,6.52,6.55,6.47,6.49,6.49,4701500
95,2017-05-19,6.59,6.63,6.57,6.59,6.59,3141900
96,2017-05-22,6.65,6.69,6.64,6.67,6.67,2170800
97,2017-05-23,6.94,7.02,6.93,6.99,6.99,7884600
98,2017-05-24,7.06,7.11,6.98,6.99,6.99,9112800
99,2017-05-25,7.03,7.1,6.98,7.05,7.05,9152900
100,2017-05-26,6.92,7.05,6.91,6.99,6.99,6022200
101,2017-05-30,6.9,7.21,6.86,7.19,7.19,15882100
102,2017-05-31,7.33,7.34,7.2,7.24,7.24,14349400
103,2017-06-01,7.31,7.34,7.29,7.34,7.34,3835600
104,2017-06-02,7.42,7.43,7.36,7.4,7.4,4221900
105,2017-06-05,7.28,7.32,7.26,7.31,7.31,2783000
106,2017-06-06,7.27,7.31,7.21,7.24,7.24,2267900
107,2017-06-07,7.24,7.26,7.15,7.2,7.2,2590300
108,2017-06-08,7.26,7.29,7.24,7.27,7.27,4630800
109,2017-06-09,7.25,7.27,7.07,7.14,7.14,6451900
110,2017-06-12,7.13,7.19,7.1,7.17,7.17,4766300
111,2017-06-13,7.23,7.27,7.17,7.23,7.23,4079800
112,2017-06-14,7.24,7.25,7.06,7.1,7.1,5102900
113,2017-06-15,6.93,6.97,6.89,6.95,6.95,4245700
114,2017-06-16,6.98,6.99,6.93,6.98,6.98,7597100
115,2017-06-19,7.03,7.08,7.02,7.06,7.06,2852500
116,2017-06-20,7.05,7.07,6.99,7.02,7.02,5326500
117,2017-06-21,7.04,7.15,7.03,7.13,7.13,6072000
118,2017-06-22,7.25,7.27,7.21,7.25,7.25,3894000
119,2017-06-23,7.25,7.31,7.19,7.25,7.25,2549100
120,2017-06-26,7.29,7.3,7.21,7.24,7.24,3688000
121,2017-06-27,7.23,7.23,7.15,7.18,7.18,3381700
122,2017-06-28,7.15,7.31,7.15,7.29,7.29,5332200
123,2017-06-29,7.24,7.25,7.09,7.13,7.13,3312100
124,2017-06-30,7.17,7.2,7.08,7.17,7.17,5141500
125,2017-07-03,7.17,7.2,7.13,7.13,7.13,895400
126,2017-07-05,7.25,7.26,7.19,7.23,7.23,5756800
127,2017-07-06,7.09,7.16,7.06,7.12,7.12,3657100
128,2017-07-07,7.17,7.23,7.15,7.23,7.23,1667400
129,2017-07-10,7.22,7.29,7.21,7.28,7.28,3671300
130,2017-07-11,7.3,7.37,7.28,7.35,7.35,3539200
131,2017-07-12,7.4,7.47,7.4,7.46,7.46,2229100
132,2017-07-13,7.35,7.4,7.28,7.39,7.39,4803600
133,2017-07-14,7.44,7.46,7.4,7.43,7.43,3048000
134,2017-07-17,7.3,7.33,7.24,7.28,7.28,5775700
135,2017-07-18,6.29,6.31,6.04,6.07,6.07,22175800
136,2017-07-19,6.15,6.2,6.11,6.14,6.14,12565000
137,2017-07-20,6.26,6.35,6.24,6.29,6.29,24372000
138,2017-07-21,6.27,6.31,6.25,6.29,6.29,10619800
139,2017-07-24,6.35,6.4,6.3,6.32,6.32,7335500
140,2017-07-25,6.39,6.42,6.34,6.35,6.35,4914900
141,2017-07-26,6.3,6.33,6.27,6.3,6.3,2692900
142,2017-07-27,6.29,6.3,6.18,6.24,6.24,2928500
143,2017-07-28,6.28,6.35,6.28,6.34,6.34,4970500
144,2017-07-31,6.37,6.48,6.37,6.42,6.42,5783600
145,2017-08-01,6.39,6.4,6.32,6.34,6.34,2210400
146,2017-08-02,6.35,6.37,6.29,6.33,6.33,4136000
147,2017-08-03,6.35,6.36,6.27,6.28,6.28,2129600
148,2017-08-04,6.3,6.32,6.24,6.26,6.26,2095200
149,2017-08-07,6.19,6.24,6.18,6.23,6.23,4471200
150,2017-08-08,6.21,6.22,6.13,6.16,6.16,2612900
151,2017-08-09,6.08,6.13,6.06,6.11,6.11,2380000
152,2017-08-10,6.04,6.09,6.0,6.02,6.02,3628900
153,2017-08-11,5.98,6.02,5.95,6.0,6.0,2389400
154,2017-08-14,6.06,6.15,6.05,6.1,6.1,2001500
155,2017-08-15,6.12,6.13,6.08,6.1,6.1,1641600
156,2017-08-16,6.06,6.11,6.05,6.1,6.1,2370700
157,2017-08-17,6.09,6.11,5.99,6.0,6.0,3182700
158,2017-08-18,6.0,6.03,5.97,6.01,6.01,1919900
159,2017-08-21,5.94,5.97,5.9,5.92,5.92,3003100
160,2017-08-22,5.9,5.92,5.86,5.92,5.92,3224500
161,2017-08-23,5.95,5.99,5.91,5.97,5.97,1785600
162,2017-08-24,5.89,5.92,5.88,5.91,5.91,1914200
163,2017-08-25,5.91,5.95,5.9,5.93,5.93,1998900
164,2017-08-28,5.89,5.94,5.88,5.94,5.94,2147100
165,2017-08-29,5.76,5.85,5.75,5.85,5.85,3634900
166,2017-08-30,5.87,5.9,5.85,5.9,5.9,1599300
167,2017-08-31,5.79,5.84,5.78,5.83,5.83,2217700
168,2017-09-01,5.82,5.83,5.77,5.81,5.81,2363800
