,School Name,School Type,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary,Region
247,East Carolina University (ECU),State,40200.0,67500.0,38400.0,52000.0,98700.0,151000.0,Southern
248,Utah Valley State College,State,42400.0,67100.0,27000.0,44100.0,84900.0,110000.0,Western
249,University of Missouri - St. Louis (UMSL),State,41400.0,67100.0,36800.0,49600.0,97600.0,144000.0,Midwestern
250,Western Carolina University,State,36900.0,66600.0,39000.0,49500.0,94400.0,133000.0,Southern
251,University of Wisconsin (UW) - Oshkosh,State,39300.0,66400.0,37700.0,49700.0,90100.0,138000.0,Midwestern
252,State University of New York (SUNY) at Fredonia,State,37800.0,66200.0,32800.0,44200.0,93300.0,181000.0,Northeastern
253,University of Missouri - Kansas City (UMKC),State,38900.0,65800.0,36300.0,48100.0,95800.0,124000.0,Midwestern
254,University of Wisconsin (UW) - Eau Claire,State,41400.0,64800.0,35000.0,47300.0,93100.0,125000.0,Midwestern
255,Ball State University (BSU),State,39100.0,64500.0,35500.0,48200.0,89300.0,128000.0,Midwestern
256,University of North Carolina at Wilmington (UNCW),State,37500.0,64400.0,32100.0,46600.0,97100.0,129000.0,Southern
257,University of Wisconsin (UW) - Stevens Point,State,39800.0,64000.0,38400.0,45100.0,95400.0,128000.0,Midwestern
258,University of Southern Maine,State,39400.0,63600.0,40400.0,47900.0,85700.0,117000.0,Northeastern
259,Arkansas State University (ASU),State,38700.0,63300.0,33600.0,45300.0,83900.0,118000.0,Southern
260,Kent State University,State,38700.0,62600.0,36100.0,45800.0,87000.0,124000.0,Midwestern
261,Tarleton State University (TSU),State,40800.0,62400.0,32100.0,47400.0,80400.0,126000.0,Southern
262,University of Wisconsin (UW) - Green Bay,State,35800.0,60600.0,35500.0,46800.0,81800.0,102000.0,Midwestern
263,Morehead State University,State,34800.0,60600.0,34300.0,46500.0,72000.0,91300.0,Southern
264,Austin Peay State University,State,37700.0,59200.0,32200.0,40500.0,73900.0,96200.0,Southern
265,Pittsburg State University,State,40400.0,58200.0,25600.0,46000.0,84600.0,117000.0,Midwestern
266,Southern Utah University,State,41900.0,56500.0,30700.0,39700.0,78400.0,116000.0,Western
267,Montana State University - Billings,State,37900.0,50600.0,22600.0,31800.0,78500.0,98900.0,Western
268,Black Hills State University,State,35300.0,43900.0,27000.0,32200.0,60900.0,87600.0,Midwestern
